"path_id","criteria","hr_os","selog_hr_os","hr_pfs","selog_hr_pfs","ae","number_of_patients","ease","g_index","sucra_os","sucra_pfs"
"C1679","Histology_NonSquamous, WBC, Neutrophils, Platelets, CNS_Metastasis, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.492446498161274,0.116794454760757,0.544591179987588,0.104067607089573,0.188085106382979,1298,0.325554728353858,0.870605334295524,4.54021048545837,4.02803993225098
"C1167","Histology_NonSquamous, WBC, Neutrophils, Platelets, CNS_Metastasis, blood_pressure_systolic, ECOG",0.491853382051329,0.116629551644174,0.550972799094799,0.103826729499559,0.188615123194564,1300,0.330248079607883,0.870330174154952,4.53740119934082,3.9277036190033
"C1039","Histology_NonSquamous, WBC, Neutrophils, Platelets, blood_pressure_systolic, ECOG",0.493477830933667,0.116625398622072,0.552524160803214,0.103798387962614,0.188615123194564,1301,0.326533260199899,0.870186923787363,4.5270369052887,3.90179562568665
"C1069","Histology_NonSquamous, Neutrophils, Platelets, ALT_v3, blood_pressure_systolic, ECOG",0.49494555096378,0.118234669254285,0.562544009226226,0.104223749437098,0.189328743545612,1282,0.36170383071674,0.866917933750522,4.52081203460693,3.76789307594299
"C1197","Histology_NonSquamous, Neutrophils, Platelets, ALT_v3, CNS_Metastasis, blood_pressure_systolic, ECOG",0.49526259755958,0.118180431578261,0.562691635732023,0.103994775111286,0.189328743545612,1281,0.357935588128349,0.867082431107133,4.51187682151794,3.74124026298523
"C1165","Histology_NonSquamous, Neutrophils, Platelets, CNS_Metastasis, blood_pressure_systolic, ECOG",0.504881927470623,0.115240201745097,0.537511309175552,0.10189953083217,0.188455008488964,1301,0.32312217628363,0.871857502182396,4.4567141532898,4.12690234184265
"C1807","Histology_NonSquamous, WBC, Neutrophils, Platelets, neoadjuvant_treatment, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.508470324862032,0.116151202167722,0.558878918874257,0.103746299460771,0.187660668380464,1289,0.314446372875059,0.870397752714145,4.43146777153015,3.82244181632996
"C1709","Histology_NonSquamous, Neutrophils, Platelets, ALT_v3, CNS_Metastasis, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.506608526834021,0.118223410470504,0.564473001998576,0.104000759363057,0.188793103448276,1279,0.34667330398002,0.86740394435835,4.42990350723267,3.71691203117371
"C1935","Histology_NonSquamous, WBC, Neutrophils, Platelets, CNS_Metastasis, neoadjuvant_treatment, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.50892961172598,0.115992776824628,0.557843625124572,0.103514803620254,0.187660668380464,1288,0.314614196661594,0.87055640993459,4.42868781089783,3.84276080131531
"C431","Histology_NonSquamous, WBC, Neutrophils, Platelets, ALT_v3, CNS_Metastasis, neoadjuvant_treatment, ECOG",0.506759556958407,0.116888284482759,0.547255495388742,0.103715048442248,0.192075796726959,1278,0.326713952341519,0.864162837076204,4.42739152908325,3.9705958366394
"C1581","Histology_NonSquamous, Neutrophils, Platelets, ALT_v3, blood_pressure_diastolic_v2, blood_pressure_systolic, ECOG",0.5087630607616,0.118284558213529,0.567567149703861,0.104056826147517,0.188793103448276,1280,0.34462694726646,0.867239771002439,4.41110277175903,3.66592168807983
"C1199","Histology_NonSquamous, WBC, Neutrophils, Platelets, ALT_v3, CNS_Metastasis, blood_pressure_systolic, ECOG",0.512873421787766,0.11775093344464,0.578320028951086,0.104001590892877,0.189491817398794,1280,0.322989930916684,0.865372251473653,4.39038109779358,3.49729990959167
